"מספר","קטגוריה","סוג התראה","חומרה","השאלה לבדיקה"
"1","דוחות יועצים","התראה","גבוהה (3)","האם המלצת היועץ או נקודת הפעולה דורשת טיפול, אישור, בדיקה או מענה מגורם בפרויקט? אם כן, ציין מה נדרש, מי הגורם, סטטוס יישום והשלכה אם לא יטופל."
"2","דוחות יועצים","עדכון","גבוהה (3)","האם דוח היועץ כולל עדכון משמעותי בתחום ההתמחות, סטטוס יישום, המלצות או שינוי הנחיות? אם כן, ציין מה התעדכן ומה צריך לתעד."
"3","דוחות יועצים","אירוע בטיחות","גבוהה (3)","האם ההמלצה/הנחיה של היועץ מצביעה על סיכון בטיחותי או דרישה בטיחותית? אם כן, ציין את הסיכון, תחום, פעולה נדרשת ואחראי."
"4","דוחות יועצים","עיכוב","קריטי (4)","האם דוח היועץ מצביע על חסם או תנאי שיכול לעכב ביצוע עד לקבלת אישור/בדיקה/תיקון? אם כן, ציין מה החסם, מי צריך לטפל ומה מושפע."
"5","דוחות יועצים","חריג","גבוהה (3)","האם דוח היועץ מצביע על חריגה מתכנון, מפרט, תקן, הנחיה מקצועית או תיאום מערכות? אם כן, ציין את החריגה, תחום התמחות, פעולה נדרשת והשלכה."
"6","דוחות יועצים","איכות","גבוהה (3)","האם דוח היועץ כולל הערת איכות, תיקון נדרש, בדיקה חוזרת או אי־התאמה בביצוע? אם כן, ציין את הממצא, פעולה נדרשת וסטטוס."
"7","מסמכים פיננסיים","התראה","גבוהה (3)","האם שורת העסקה/החשבונית דורשת אישור, בדיקה, התאמה, בירור מול ספק או פעולה לפני תשלום? אם כן, ציין מסמך, שורה, ספק, סכום, סטטוס ופעולה נדרשת."
"8","מסמכים פיננסיים","אירוע בטיחות","גבוהה (3)","האם המסמך הפיננסי קשור להוצאה או חיוב בעקבות אירוע בטיחות, ציוד בטיחות, תיקון מפגע או דרישת בטיחות? אם כן, ציין את הקשר, ספק, סכום ופעולה."
"9","מסמכים פיננסיים","עיכוב","קריטי (4)","האם מסמך פיננסי עלול לעכב אספקה, תשלום, הזמנה, שחרור עבודה או המשך ביצוע? אם כן, ציין מה יעוכב, מי הספק, מה הסכום ומה נדרש לשחרור."
"10","מסמכים פיננסיים","חריג","גבוהה (3)","האם קיימת חריגה כספית, פער בין סכום שורה לסכום כולל, סכום חריג, סטטוס בעייתי או נתון חסר? אם כן, ציין מסמך, שורה, פער, סכומים ופעולה לבדיקה."
"11","חריגים","התראה","גבוהה (3)","האם החריג דורש אישור, בדיקה, תמחור, החלטת מנהל פרויקט או מענה מגורם בפרויקט? אם כן, ציין מהו החריג, מה נדרש, מי הגורם, סכום/ימים ופעולה הבאה."
"12","חריגים","עדכון","גבוהה (3)","האם דוח החריג כולל עדכון משמעותי על סכום, ימי ביצוע, נושא חריגה, סטטוס או גורמים מעורבים? אם כן, ציין מה התעדכן ומה צריך לתעד."
"13","חריגים","עיכוב","קריטי (4)","האם החריג כולל ימי ביצוע נוספים, עיכוב, תלות או השפעה על לו״ז? אם כן, ציין מספר ימים, גורם העיכוב, השפעה ופעולה נדרשת."
"14","דוחות בטיחות","התראה","גבוהה (3)","האם דוח הבטיחות כולל ממצא שמחייב טיפול מיידי, בדיקה חוזרת או עצירת עבודה? אם כן, ציין מה הממצא, חומרה, אחראי ופעולה מיידית."
"15","דוחות בטיחות","עדכון","נמוכה (1)","האם דוח הבטיחות כולל עדכון משמעותי לגבי ציון אתר, מספר עובדים, מספר ליקויים, טיפול בליקויים או בעלי תפקידים? אם כן, ציין את העדכון המרכזי ומה צריך לתעד."
"16","דוחות בטיחות","אירוע בטיחות","גבוהה (3)","האם הדוח כולל אירועי בטיחות לפי גורם מסכן חיים/חמור/בינוני/קל או פירוט ליקויים? אם כן, סכם את האירועים לפי חומרה ומיקום."
"17","דוחות בטיחות","עיכוב","קריטי (4)","האם ממצאי הבטיחות גורמים לעיכוב בעבודה או מחייבים עצירת פעילות באזור מסוים? אם כן, ציין מה החסם, איזו עבודה מושפעת ומה נדרש לשחרור."
"18","בקרת איכות","התראה","בינונית (2)","האם ממצא האיכות דורש טיפול, תיקון, בדיקה חוזרת, אישור או הסלמה? אם כן, ציין ליקוי, מיקום, חומרה, פעולה נדרשת ואחראי אם צוין."
"19","בקרת איכות","עדכון","נמוכה (1)","האם דוח בקרת האיכות כולל עדכון משמעותי על סטטוס ליקויים, ממצאים חיוביים, פעולות תיקון או תחום בדיקה? אם כן, ציין מה עודכן ומה צריך לתעד."
"20","בקרת איכות","עיכוב","קריטי (4)","האם ליקוי האיכות או התיקון הנדרש עלולים לעכב המשך ביצוע, מסירה או סגירת אזור? אם כן, ציין מה יעוכב, מי אחראי ומה נדרש לסגירה."
"21","יומן עבודה","התראה","גבוהה (3)","האם הערת המפקח או הקבלן דורשת טיפול, החלטה, בירור או מעקב? אם כן, ציין מה נדרש, מי דיווח, מי אחראי ומה הפעולה הבאה."
"22","יומן עבודה","עדכון","גבוהה (3)","האם יומן העבודה כולל עדכון משמעותי על פעילות באתר, התקדמות, שינוי סטטוס או הערות מפקח/קבלן? אם כן, ציין תאריך, אתר, מפקח ועיקרי העדכון."
"23","יומן עבודה","אירוע בטיחות","גבוהה (3)","האם היומן כולל מפגע בטיחות, אירוע באתר, תנאי עבודה מסוכנים או התייחסות לציוד/עובדים לא תקינים? אם כן, ציין מה האירוע, מיקום, מדווח ופעולה נדרשת."
